RATE,ID,YEAR,CITY,STATE,MKT_TIER
65,93011,2019,Durham,NC,
60,93019,2019,Durham,NC,
79,93023,2019,Englewood,CO,
80,93035,2017,Everett,WA,
85,93081,2017,Houston,TX,
68,93106,2017,Indianapolis,IN,
63,93107,2017,Indianapolis,IN,
99,93120,2018,Lenexa,KS,
98,93172,2018,Maple Grove,MN,
80,93178,2019,Eagan,MN,
73,93201,2017,Novi,MI,
64,93279,2019,Rochester,MN,
159,93300,2017,San Jose,CA,
118,93315,2017,San Jose,CA,
111,93315,2019,San Jose,CA,
94,93319,2017,San Jose,CA,
96,93319,2019,San Jose,CA,
67,93336,2019,Springfield,MO,
90,93342,2017,San Jose,CA,
93,93342,2019,San Jose,CA,
79,93348,2019,West Sacramento,CA,
170,93608,2017,Boulder,CO,
151.5,94312,2018,Harrisburg,PA,
116,94312,2019,Harrisburg,PA,
296.6,95238,2018,San Francisco,CA,
257,95238,2019,San Francisco,CA,
113,95500,2018,Dallas,TX,
95,95500,2019,Dallas,TX,
180,96208,2018,Minneapolis,MN,
102,99196,2018,Erie,PA,
118,99414,2017,Pittsburgh,PA,
165,102228,2019,La Jolla,CA,
225,102845,2017,Santa Clara,CA,
179,110679,2018,Palm Coast,FL,
179,110801,2018,Austin,TX,
110,110801,2019,Austin,TX,
199,111926,2018,Kissimmee,FL,
139,111943,2018,Huntsville,AL,
136.5,111943,2019,Huntsville,AL,
115,112675,2018,Augusta,GA,
125.5,112677,2018,Virginia Beach,VA,
119,113365,2017,Anaheim,CA,
137,113374,2017,Costa Mesa,CA,
130,113375,2018,Laguna Woods,CA,
165.5,113378,2017,Yorba Linda,CA,
130,113380,2018,Mission Viejo,CA,
223,113538,2019,New York,NY,
120,114465,2019,Rye Brook,NY,
185,114571,2019,Atlanta,GA,
139.5,114664,2018,Indianapolis,IN,
129,114985,2019,Daytona Beach,FL,
99,114985,2019,Daytona Beach Shores,FL,
111,115657,2019,Atlanta,GA,
169,115999,2018,Atlanta,GA,
117,115999,2019,Atlanta,GA,
110,116000,2019,Jeffersonville,IN,
94,116222,2017,Athens,GA,
79,116229,2018,Missoula,MT,
130,116260,2019,Marietta,GA,
115,116262,2019,Morrow,GA,
130,116263,2019,Charlotte,NC,
120,116265,2019,Greensboro,NC,
160,116266,2019,Greenville,SC,
142,116794,2018,Irving,TX,
165,116868,2018,Dallas,TX,
135,116868,2019,Dallas,TX,
122,116872,2018,Broomfield,CO,
120,116873,2018,Hanover,MD,
115,116873,2019,Hanover,MD,
109,116874,2019,Minneapolis,MN,
157,116881,2018,Portland,OR,
133,116885,2019,Tempe,AZ,
147,116888,2018,Irving,TX,
135,116888,2019,Irving,TX,
117,116891,2019,Frisco,TX,
115,116892,2018,Glen Allen,VA,
118,116892,2019,Glen Allen,VA,
110,116893,2019,Ashburn,VA,
143,116896,2018,Rogers,AR,
179,116916,2018,Carlsbad,CA,
236,116916,2019,Carlsbad,CA,
175,116924,2018,Brooklyn,NY,
175,116924,2019,Brooklyn,NY,
137,116926,2019,Northbrook,IL,
115,116928,2019,Herndon,VA,
278,116930,2018,New York,NY,
214.5,116930,2019,New York,NY,
201,116950,2018,National Harbor,MD,
166,116950,2019,National Harbor,MD,
277,116951,2018,Reston,VA,
207,116951,2019,Reston,VA,
130,116953,2019,Richmond,VA,
190,116956,2018,Detroit,MI,
999,116960,2018,Napa,CA,
221,116963,2018,Houston,TX,
169,116970,2019,Herndon,VA,
321.5,116973,2018,Scottsdale,AZ,
148,116973,2019,Scottsdale,AZ,
259.5,116976,2018,Fort Lauderdale,FL,
244,116977,2018,Minneapolis,MN,
307.5,116979,2018,Hoboken,NJ,
229,116982,2018,Atlanta,GA,
220,116982,2019,Atlanta,GA,
692,116983,2018,Boston,MA,
286,116984,2018,Hollywood,CA,
279,116984,2019,Hollywood,CA,
684,116985,2018,Miami Beach,FL,
128.67,117166,2018,Houston,TX,
133,117166,2019,Houston,TX,
105,117375,2019,Paducah,KY,
110,117377,2019,Paducah,KY,
125,117378,2019,Bowling Green,KY,
155,117379,2019,Nashville,TN,
125,117380,2019,Louisville,KY,
399,117396,2017,Atlanta,GA,
369,117396,2018,Atlanta,GA,
148,117396,2019,Atlanta,GA,
219.5,118081,2018,Atlanta,GA,
120,119177,2017,San Antonio,TX,
139,119201,2018,Plano,TX,
194,119204,2019,Atlanta,GA,
159,119220,2018,Houston,TX,
147,119220,2019,Houston,TX,
999,119401,2018,Sonoma,CA,
999,119401,2019,Sonoma,CA,
214.67,119455,2017,Sunnyvale,CA,
999,119626,2019,Santa Cruz,CA,
204,119629,2017,Cupertino,CA,
999,119695,2018,Aptos,CA,
999,119695,2019,Aptos,CA,
120,120123,2019,San Antonio,TX,
83,120124,2018,Houston,TX,
110,120124,2019,Houston,TX,
180,120125,2019,Houston,TX,
105,120125,2020,Houston,TX,
130,120126,2019,Houston,TX,
